меркурий венера юпитер \солнце
ботинок туфля сандаля \рубашка
стартовать приступать начинать \продолжать
уходить отправляться покидать \прибывать
камбала щука треска \утка
книга тетрадь блокнот \ручка
тарелка миска блюдце \кружка
скворец зяблик колибри \пингвин
книга газета журнал \телевидение
диван кресло стул \стол
ель сосна лиственница \липа
окунь щука акула \дельфин
лев рак скорпион \змея
москва лондон париж \нью-йорк
георгин роза тюльпан \черемуха
самолёт пароход поезд \трактор
лиса медведь волк \курица
платье рубашка куртка \сапоги
букварь тетрадь портфель \мяч
капуста морковь редис \яблоко
кошка петух гусь \рысь
лапта теннис футбол \городки
гитара арфа скрипка \труба
старый дряхлый ветхий \маленький
храбрый смелый отважный \злой
яблоко слива груша \огурец
час минута секунда \лето
платье свитер рубашка \шапка
береза дуб сосна \сирень
единорог грифон сфинкс \жираф
велосипед телега автомобиль \сани
бабочка муха стрекоза \таракан
кран танк кибернетика \дыня
довод заказ топот \сахар
арья дейенерис мизинец \геральт
гобой фагот труба \литавры
стрит флеш каре \гарсон
харасмент хоррор хомячок \инаугурация
иена бат лари \песто
пёс кит лев \попугай
самолет пчела бабочка \машина
снег град изморось \молния
хлопок шерсть лен \нейлон
безжизненный апатичный оцепенелый \чувствительный
бросать швырять раскидывать \пинать
вишневый алый малиновый \шафрановый
чума бруцеллез язва \температура
превосходный величавый величественный \поэтичный
канатоходец акробат клоун \шут
растирать толочь измельчать \нарезать
нарцисс гладиолус тюльпан \подснежник
угрожать наезжать устрашать \импонировать
броги чуни лоферы \тектарии
хлопоты события рутина \размышления
кипарис можжевельник каури \акация
притча очерк элегия \ведута
бодайбо антананариву кнокке-хейст \футалеуфу
облако юла игла \раритет
чуковский довлатов островский \чайковский
линейка карандаш бумага \чернила
